dR dR+ dR- dRV dRV+ dRV- dU dU+ dU- 
snumbered 
p3 > Autoscale
Variables
0.051866 -0.214 0.21228 0.032683 -0.21305 0.21102 0.031435 -0.21616 0.21483 
0.052081 -0.21705 0.2151 0.032683 -0.21581 0.21366 0.031761 -0.21944 0.21804 
0.051866 -0.2109 0.2095 0.032306 -0.21033 0.20833 0.031108 -0.21288 0.21162 
0.051435 -0.20508 0.20409 0.031553 -0.20526 0.20332 0.030782 -0.20671 0.20567 
0.051005 -0.20026 0.19959 0.031176 -0.20097 0.19913 0.030456 -0.20154 0.20067 
0.050596 -0.19625 0.19583 0.030799 -0.19742 0.19566 0.029803 -0.19731 0.19646 
0.050144 -0.19298 0.19271 0.030046 -0.19447 0.19267 0.02915 -0.19375 0.19288 
0.049929 -0.19011 0.19005 0.029292 -0.19198 0.19011 0.02915 -0.19064 0.18993 
0.049499 -0.18756 0.18759 0.028916 -0.18963 0.18778 0.028497 -0.18786 0.18709 
0.049284 -0.18506 0.18526 0.028539 -0.18746 0.18563 0.02817 -0.18525 0.18451 
0.049068 -0.18319 0.1835 0.028162 -0.18585 0.184 0.027844 -0.1833 0.18256 
0.048638 -0.18119 0.18153 0.027786 -0.18405 0.18219 0.027517 -0.18113 0.1804 
0.048423 -0.17978 0.18018 0.027409 -0.18271 0.18083 0.027191 -0.17952 0.17877 
0.048208 -0.17792 0.17842 0.027032 -0.18119 0.17929 0.026864 -0.17769 0.17693 
0.047992 -0.17669 0.17724 0.026656 -0.18004 0.1781 0.026538 -0.1763 0.17551 
0.052296 -0.21955 0.21744 0.034189 -0.21775 0.21586 0.030782 -0.22249 0.22062 
0.052296 -0.22009 0.21793 0.034189 -0.21821 0.2163 0.030782 -0.22305 0.22115 
0.052296 -0.22064 0.21842 0.034189 -0.21867 0.21674 0.030782 -0.22361 0.22168 
0.052296 -0.22119 0.21891 0.034189 -0.21913 0.21718 0.030782 -0.22416 0.2222 
0.052296 -0.22155 0.21924 0.034189 -0.2195 0.21753 0.030782 -0.22461 0.22262 
0.052318 -0.222 0.21965 0.034189 -0.21996 0.21797 0.031108 -0.22511 0.2232 
0.052318 -0.22236 0.21998 0.034189 -0.22024 0.21823 0.031108 -0.22544 0.22352 
0.052339 -0.22272 0.22031 0.034189 -0.22061 0.21859 0.031108 -0.22589 0.22394 
0.052339 -0.22309 0.22064 0.034189 -0.22088 0.21885 0.031108 -0.22622 0.22426 
0.052361 -0.22345 0.22097 0.034189 -0.22116 0.21911 0.031108 -0.22655 0.22457 
0.052361 -0.22372 0.22122 0.034189 -0.22144 0.21938 0.031108 -0.22689 0.22489 
0.052382 -0.22399 0.22147 0.034189 -0.22168 0.21961 0.031108 -0.22722 0.2252 
0.052382 -0.22426 0.22171 0.034189 -0.2219 0.21982 0.031108 -0.22748 0.22545 
0.052382 -0.22444 0.22188 0.034189 -0.22207 0.21998 0.031108 -0.22772 0.22568 
0.052382 -0.22472 0.22212 0.034189 -0.22229 0.2202 0.031108 -0.22796 0.22591 
0.052404 -0.2248 0.22221 0.034189 -0.22242 0.22032 0.031108 -0.22813 0.22607 
0.052339 -0.22509 0.22244 0.034189 -0.22262 0.2205 0.031108 -0.22835 0.22628 
0.052404 -0.22521 0.22258 0.034189 -0.22273 0.22061 0.031108 -0.22852 0.22643 
0.052404 -0.22532 0.22267 0.034189 -0.22286 0.22073 0.031108 -0.22865 0.22656 
0.052404 -0.22547 0.2228 0.034189 -0.22298 0.22085 0.031174 -0.22879 0.22671 
0.052404 -0.22562 0.22294 0.034189 -0.22311 0.22098 0.031239 -0.22892 0.22686 
0.052425 -0.22573 0.22305 0.034189 -0.2232 0.22106 0.031174 -0.22907 0.22697 
0.052425 -0.2258 0.22311 0.03434 -0.22327 0.22116 0.031272 -0.22914 0.22707 
0.052425 -0.22592 0.22322 0.034302 -0.22336 0.22124 0.031239 -0.22924 0.22716 
0.052425 -0.22599 0.22328 0.034302 -0.22343 0.22131 0.031304 -0.22932 0.22726 
0.052425 -0.22606 0.22335 0.034227 -0.22349 0.22134 0.031239 -0.2294 0.22731 
0.052425 -0.2261 0.22338 0.034265 -0.22355 0.22141 0.031239 -0.22944 0.22735 
0.052425 -0.22614 0.22341 0.034152 -0.22359 0.22142 0.031239 -0.22948 0.22738 
0.052425 -0.22617 0.22345 0.034152 -0.22363 0.22146 0.031337 -0.2295 0.22744 
0.052425 -0.22621 0.22348 0.034114 -0.22367 0.22149 0.031304 -0.22953 0.22746 
0.052425 -0.22625 0.22351 0.034152 -0.22367 0.2215 0.031304 -0.22958 0.2275 
0.052425 -0.22624 0.2235 0.034189 -0.22369 0.22152 0.031337 -0.22957 0.2275 
0.052425 -0.22627 0.22354 0.034076 -0.22372 0.22153 0.031337 -0.22958 0.22751 
0.052425 -0.22627 0.22354 0.034152 -0.22373 0.22156 0.031402 -0.22957 0.22752 
0.052425 -0.22626 0.22353 0.034114 -0.22372 0.22154 0.031337 -0.22958 0.22751 
0.052425 -0.22626 0.22353 0.034189 -0.22371 0.22155 0.03137 -0.22958 0.22752 
0.052425 -0.22625 0.22352 0.034114 -0.22372 0.22154 0.031402 -0.22957 0.22752 
0.052425 -0.22625 0.22351 0.034076 -0.22372 0.22153 0.03137 -0.22954 0.22749 
0.052425 -0.22625 0.22351 0.034076 -0.22372 0.22153 0.03137 -0.22954 0.22749 
0.052425 -0.22619 0.22346 0.034039 -0.22368 0.22148 0.031435 -0.22948 0.22745 
0.052425 -0.22619 0.22346 0.034076 -0.22367 0.22148 0.031468 -0.22944 0.22742 
0.052425 -0.22616 0.22344 0.034114 -0.22364 0.22146 0.031468 -0.22942 0.2274 
0.052425 -0.22614 0.22341 0.034001 -0.22363 0.22142 0.03137 -0.2294 0.22735 
0.052425 -0.22608 0.22337 0.034001 -0.22361 0.22141 0.031468 -0.22933 0.22731 
0.052425 -0.22607 0.22336 0.033963 -0.22358 0.22137 0.031402 -0.22934 0.2273 
0.052425 -0.22603 0.22332 0.034039 -0.22356 0.22137 0.031468 -0.22927 0.22726 
0.052425 -0.22599 0.22328 0.034039 -0.22351 0.22132 0.031468 -0.22922 0.22721 
0.052425 -0.22596 0.22326 0.033926 -0.22352 0.2213 0.0315 -0.22918 0.22718 
0.052425 -0.22592 0.22322 0.034076 -0.22345 0.22127 0.031598 -0.2291 0.22715 
0.052425 -0.22586 0.22317 0.033888 -0.22343 0.22121 0.031435 -0.22908 0.22707 
0.052425 -0.22583 0.22314 0.034001 -0.22337 0.22118 0.031468 -0.22902 0.22702 
0.052425 -0.2258 0.22311 0.033888 -0.22338 0.22116 0.031533 -0.22897 0.227 
0.052425 -0.22575 0.22306 0.033813 -0.22334 0.2211 0.031566 -0.22891 0.22695 
0.052425 -0.22569 0.22301 0.033813 -0.22329 0.22106 0.031533 -0.22888 0.22691 
0.052404 -0.22564 0.22296 0.033775 -0.22328 0.22104 0.031533 -0.22883 0.22686 
0.052404 -0.22564 0.22296 0.033888 -0.22322 0.22101 0.031598 -0.22878 0.22684 
0.052404 -0.22559 0.22291 0.033813 -0.22319 0.22096 0.031533 -0.22874 0.22678 
0.052404 -0.22553 0.22286 0.033813 -0.22317 0.22094 0.031566 -0.22868 0.22673 
0.052404 -0.22547 0.2228 0.033813 -0.22311 0.22089 0.031566 -0.22861 0.22667 
0.052404 -0.22541 0.22276 0.033813 -0.22307 0.22085 0.031435 -0.22858 0.22659 
0.052404 -0.22541 0.22276 0.033813 -0.22304 0.22082 0.031435 -0.22854 0.22656 
0.052404 -0.22535 0.2227 0.033813 -0.22301 0.22079 0.031761 -0.22842 0.22655 
0.052404 -0.22529 0.22265 0.033813 -0.22297 0.22075 0.031435 -0.22842 0.22645 
0.052404 -0.22524 0.2226 0.033813 -0.22291 0.2207 0.031435 -0.2284 0.22642 
0.052404 -0.22524 0.2226 0.033813 -0.22291 0.2207 0.031761 -0.2283 0.22643 
0.052404 -0.22518 0.22254 0.033813 -0.22286 0.22064 0.031435 -0.2283 0.22633 
0.052404 -0.22512 0.22249 0.033813 -0.22281 0.2206 0.031435 -0.22823 0.22627 
0.052404 -0.22508 0.22245 0.033813 -0.22278 0.22057 0.031761 -0.22812 0.22627 
0.052404 -0.22508 0.22245 0.033813 -0.22275 0.22055 0.031761 -0.22809 0.22623 
0.052404 -0.22499 0.22237 0.033436 -0.22275 0.22045 0.031761 -0.22805 0.2262 
0.052404 -0.22489 0.22229 0.033813 -0.22268 0.22048 0.031761 -0.22799 0.22614 
0.052404 -0.22489 0.22229 0.033813 -0.22264 0.22044 0.031761 -0.22795 0.22611 
0.052404 -0.22489 0.22229 0.033813 -0.2226 0.2204 0.031761 -0.22789 0.22605 
0.052404 -0.2248 0.22221 0.033436 -0.22262 0.22033 0.031761 -0.22786 0.22602 
0.052404 -0.2248 0.22221 0.033436 -0.22259 0.2203 0.031761 -0.22783 0.22599 
0.052382 -0.22472 0.22212 0.033436 -0.22256 0.22027 0.031761 -0.22776 0.22593 
0.052382 -0.22472 0.22212 0.033436 -0.22251 0.22022 0.031761 -0.2277 0.22587 
0.052382 -0.22472 0.22212 0.033436 -0.22248 0.2202 0.031761 -0.2277 0.22587 
0.052382 -0.22463 0.22204 0.033436 -0.22246 0.22018 0.031761 -0.22763 0.2258 
0.052382 -0.22463 0.22204 0.033436 -0.22242 0.22014 0.031761 -0.2276 0.22577 
0.052382 -0.22453 0.22196 0.033436 -0.2224 0.22013 0.031761 -0.22758 0.22575 
0.052382 -0.22453 0.22196 0.033436 -0.22238 0.2201 0.031761 -0.22753 0.22571 
0.052382 -0.22453 0.22196 0.033436 -0.22235 0.22007 0.031761 -0.22751 0.22569 
0.052382 -0.22453 0.22196 0.033436 -0.22232 0.22005 0.031761 -0.22748 0.22566 
0.052382 -0.22444 0.22188 0.033436 -0.22229 0.22002 0.031761 -0.22741 0.22559 
0.052382 -0.22444 0.22188 0.033436 -0.22227 0.21999 0.031761 -0.22741 0.22559 
0.052382 -0.22435 0.22179 0.033436 -0.22225 0.21998 0.031761 -0.22734 0.22553 
0.052382 -0.22435 0.22179 0.033436 -0.22218 0.21991 0.031761 -0.22732 0.22551 
0.052382 -0.22435 0.22179 0.033436 -0.22219 0.21992 0.032088 -0.22722 0.22552 
0.052382 -0.22435 0.22179 0.033436 -0.22216 0.21989 0.031761 -0.22724 0.22543 
0.052382 -0.22426 0.22171 0.033436 -0.22214 0.21987 0.031761 -0.22722 0.22541 
0.052382 -0.22426 0.22171 0.033436 -0.22211 0.21984 0.032088 -0.22712 0.22542 
0.052382 -0.22417 0.22163 0.033436 -0.22208 0.21982 0.032088 -0.2271 0.2254 
0.052382 -0.22417 0.22163 0.033436 -0.22205 0.21979 0.031761 -0.22715 0.22535 
0.052382 -0.22417 0.22163 0.033436 -0.22204 0.21977 0.032088 -0.22703 0.22534 
0.052382 -0.22417 0.22163 0.033436 -0.22204 0.21977 0.032088 -0.22704 0.22535 
0.052382 -0.22417 0.22163 0.033436 -0.22201 0.21975 0.032088 -0.22701 0.22532 
0.052382 -0.22408 0.22155 0.033436 -0.22198 0.21972 0.032088 -0.22698 0.22529 
0.052382 -0.22408 0.22155 0.033436 -0.22195 0.21969 0.031761 -0.227 0.2252 
0.052382 -0.22408 0.22155 0.033059 -0.22201 0.21966 0.032088 -0.22695 0.22527 
0.052382 -0.22399 0.22147 0.033436 -0.22193 0.21968 0.032088 -0.22688 0.22519 
0.052382 -0.22399 0.22147 0.033059 -0.22195 0.21961 0.031761 -0.22694 0.22515 
0.052382 -0.22399 0.22147 0.033059 -0.22196 0.21961 0.032088 -0.22685 0.22517 
0.052382 -0.22399 0.22147 0.033436 -0.22186 0.21961 0.032088 -0.22683 0.22515 
0.052382 -0.22399 0.22147 0.033059 -0.22191 0.21956 0.032088 -0.22684 0.22516 
