dResistorFixed dResistorFixed+ dResistorFixed- dResistorVariable dResistorVariable+ dResistorVariable- dIntegratedCircuit dIntegratedCircuit+ dIntegratedCircuit- 
snumbered 
p1
Variables
-2e-005 0.01234 -0.01242 0.16677 0.34436 0.32272 0.16652 0.34386 0.32222 
-2e-005 0.01046 -0.01054 0.16676 0.34268 0.32436 0.16654 0.34224 0.32392 
-3e-005 0.01386 -0.01398 0.16672 0.34556 0.32132 0.16649 0.34516 0.3208 
-4e-005 0.01728 -0.01744 0.16672 0.34856 0.31832 0.16653 0.34832 0.3178 
-7e-005 0.02006 -0.02034 0.1667 0.35104 0.31576 0.1665 0.3508 0.3152 
-8e-005 0.02184 -0.02216 0.1667 0.35266 0.31414 0.1665 0.35226 0.31374 
-9e-005 0.02402 -0.02438 0.1667 0.3544 0.3124 0.1664 0.3538 0.3118 
-0.0001 0.0256 -0.026 0.1667 0.356 0.3108 0.1665 0.3556 0.3104 
-0.0001 0.027 -0.0274 0.1667 0.3572 0.3096 0.1665 0.3568 0.3092 
-0.0001 0.0284 -0.0288 0.1667 0.3584 0.3084 0.1665 0.358 0.308 
-0.0001 0.0296 -0.03 0.1666 0.3592 0.3072 0.1665 0.359 0.307 
-0.0001 0.0306 -0.031 0.1666 0.3602 0.3062 0.1665 0.36 0.306 
-0.0002 0.0314 -0.0322 0.1666 0.361 0.3054 0.1664 0.3606 0.305 
-0.0001 0.0326 -0.033 0.1666 0.3618 0.3046 0.1665 0.3616 0.3044 
-0.0001 0.0334 -0.0338 0.1666 0.3626 0.3038 0.1665 0.3624 0.3036 
-1e-005 0.00844 -0.00848 0.16712 0.3417 0.32678 0.16621 0.33976 0.32508 
-1e-005 0.00812 -0.00816 0.1671 0.3414 0.327 0.16619 0.33942 0.32534 
-9e-006 0.007862 -0.007898 0.1671 0.34114 0.32726 0.16621 0.33922 0.32562 
-8e-006 0.007544 -0.007576 0.16712 0.3409 0.32758 0.16622 0.33896 0.32592 
-1e-005 0.0073 -0.00734 0.16711 0.34068 0.32776 0.1662 0.3387 0.3261 
